band,OV,BRCA,ER,TRI
4_q32.3,0.655354925357714,1,1,1
4_q33,0.655354925357714,1,1,1
4_q34.1,0.655354925357714,1,1,1
4_q34.2,0.655354925357714,1,1,1
4_q34.3,0.655354925357714,1,1,1
4_q35.1,0.655354925357714,1,1,1
4_q35.2,0.655354925357714,1,1,1
5_p11,0.450630106757857,1,1,1
5_p12,1,1,1,1
5_p13.1,0.700370589679715,0.814518143516133,1,1
5_p13.2,0.869709635312025,0.962229882042626,1,1
5_p13.3,1,0.962229882042626,1,1
5_p14.1,1,1,1,1
5_p14.2,0.887137662983747,1,1,1
5_p14.3,0.887137662983747,1,1,1
5_p15.1,1,1,1,1
5_p15.2,1,1,1,1
5_p15.31,1,1,1,1
5_p15.32,0.899842965342687,1,1,1
5_p15.33,0.899842965342687,1,1,1
5_q11.1,0.450630106757857,1,1,1
5_q11.2,0.377960256493079,1,1,1
5_q12.1,0.450630106757857,1,1,1
5_q12.2,0.450630106757857,1,1,1
5_q12.3,0.450630106757857,1,1,1
5_q13.1,0.450630106757857,1,1,1
5_q13.2,0.450630106757857,1,1,1
5_q13.3,0.450630106757857,1,1,1
5_q14.1,0.450630106757857,1,1,1
5_q14.2,0.676623396500546,1,1,1
5_q14.3,0.450630106757857,1,1,1
5_q15,0.655354925357714,1,1,1
5_q21.1,0.450630106757857,1,1,1
5_q21.2,0.450630106757857,1,1,1
5_q21.3,0.450630106757857,1,1,1
5_q22.1,0.765692114407405,1,1,1
5_q22.2,0.765692114407405,1,1,1
5_q22.3,0.765692114407405,1,1,1
5_q23.1,0.584623979550167,1,1,1
5_q23.2,0.584623979550167,1,1,1
5_q23.3,0.377960256493079,1,1,1
5_q31.1,0.377960256493079,1,1,1
5_q31.2,0.377960256493079,1,1,1
5_q31.3,0.288492218877817,1,1,1
5_q32,0.765692114407405,1,1,1
5_q33.1,0.584623979550167,1,1,1
5_q33.2,0.584623979550167,1,1,1
5_q33.3,0.584623979550167,1,1,1
5_q34,0.450630106757857,1,1,1
5_q35.1,0.450630106757857,1,1,1
5_q35.2,0.450630106757857,1,1,1
5_q35.3,0.2454747368111,1,1,1
6_p11.1,0.288492218877817,1,1,1
6_p11.2,0.288492218877817,1,1,1
6_p12.1,0.450630106757857,1,1,1
6_p12.2,0.377960256493079,1,1,1
6_p12.3,0.2454747368111,1,1,1
6_p21.1,0.200897321629785,0.875612201023829,1,1
6_p21.2,0.450630106757857,1,1,1
6_p21.31,0.288492218877817,1,1,1
6_p21.32,0.2454747368111,1,1,1
6_p21.33,0.377960256493079,1,1,1
6_p22.1,0.808954954141033,1,1,1
6_p22.2,1,1,1,1
6_p22.3,1,1,1,1
6_p23,0.8860285999165,0.77351203924876,1,1
6_p24.1,0.718408133390659,0.77351203924876,1,1
6_p24.2,0.73338529473415,0.814518143516133,1,1
6_p24.3,0.720851457007638,0.814518143516133,1,1
6_p25.1,1,0.814518143516133,1,1
6_p25.2,1,1,1,1
6_p25.3,1,1,1,1
6_q11.1,0.288492218877817,1,1,1
6_q11.2,0.377960256493079,1,1,1
6_q12,0.377960256493079,0.96898478929468,1,1
6_q13,0.377960256493079,1,1,1
6_q14.1,0.450630106757857,0.814518143516133,1,1
6_q14.2,0.450630106757857,0.96898478929468,1,1
6_q14.3,0.450630106757857,0.96898478929468,1,1
6_q15,0.450630106757857,1,1,1
6_q16.1,0.450630106757857,1,1,1
